Date,residential,non_residential,grid_supply,,,
2000,11.85,11.04,0,,,
2002,5.25,0,0,,,
2001,72.82,586.14,0,,,
2003,346.842,672.9,0,,,
2004,1496.983,1005.391,0,,,
2005,4579.949,4940.323,0,,,
2006,5228.097,12978.849,0,,,
2007,3769.211,10456.394,0,,,
2008,4937.965,23255.511,0,,,
2009,7992.004,45119.661,3370.56,,,
2010,16425.299,79288.508,25187.34,,,
2011,40469.72,268467.768,137618.951,,,
2012,42073.536,233778.54,56793.804,,,
2013,46545.186,150647.215,23162.1,,, 
2014,54721.644,85629.912,63370.64,,,
2015,101916.82,52572.94,41683.64,,,
2016,180296.92,91751.46,136223.31,,,
2017,159002.225,132591.73,60129.63,,,
2018,150394.82,137397.69,43919.68,,,
2019,144455.22,230673.5,77950.13,,,
2020,124343.93,132925.47,66584.34,,,
2021,115873.53,96421.37,60620.07,,,
